        Time               NuH               NuC               Nua      Temperature
  250.000000    2.12094166e-05    0.00000000e+00    1.06047083e-05    1.64052419e-09
  500.000000    1.09726408e-04    0.00000000e+00    5.48632042e-05    5.44959944e-13
  750.000000    2.47848859e-04    0.00000000e+00    1.23924430e-04    5.32655937e-13
 1000.000000    3.94200934e-04    0.00000000e+00    1.97100467e-04    4.98990630e-13
 1250.000000    5.21979361e-04    0.00000000e+00    2.60989681e-04    4.67825964e-13
 1500.000000    6.30249550e-04    0.00000000e+00    3.15124775e-04    4.47660281e-13
 1750.000000    7.22849976e-04    0.00000000e+00    3.61424988e-04    8.98980433e-13
 2000.000000    7.97359954e-04    0.00000000e+00    3.98679977e-04    1.35740801e-11
 2250.000000    8.49182045e-04    0.00000000e+00    4.24591023e-04    1.32469268e-10
 2500.000000    8.75859179e-04    0.00000000e+00    4.37929590e-04    6.69202890e-10
 2750.000000    8.78426997e-04    0.00000000e+00    4.39213499e-04    2.44799467e-09
 3000.000000    8.63367073e-04    0.00000000e+00    4.31683537e-04    1.53330980e-08
 3250.000000    8.41029219e-04    0.00000000e+00    4.20514610e-04    1.72898652e-07
 3500.000000    8.20763089e-04    0.00000000e+00    4.10381544e-04    1.58110767e-06
 3750.000000    8.08378490e-04    0.00000000e+00    4.04189245e-04    9.56205908e-06
 4000.000000    8.05685609e-04    0.00000000e+00    4.02842804e-04    3.91883661e-05
 4250.000000    8.09236536e-04    0.00000000e+00    4.04618268e-04    1.16381603e-04
 4500.000000    8.14011891e-04    0.00000000e+00    4.07005946e-04    2.68518612e-04
 4750.000000    8.16885702e-04    0.00000000e+00    4.08442851e-04    5.14756085e-04
 5000.000000    8.17145780e-04    0.00000000e+00    4.08572890e-04    8.67405390e-04
 5250.000000    8.16304806e-04    0.00000000e+00    4.08152403e-04    1.33642727e-03
 5500.000000    8.15113556e-04    0.00000000e+00    4.07556778e-04    1.94069529e-03
 5750.000000    8.14483760e-04    0.00000000e+00    4.07241880e-04    2.72994517e-03
 6000.000000    8.14823727e-04    0.00000000e+00    4.07411864e-04    3.79798095e-03
 6250.000000    8.15416351e-04    0.00000000e+00    4.07708175e-04    5.29526580e-03
 6500.000000    8.16104388e-04    0.00000000e+00    4.08052194e-04    7.45731402e-03
 6750.000000    8.16577856e-04    0.00000000e+00    4.08288928e-04    1.06030418e-02
 7000.000000    8.16934853e-04    0.00000000e+00    4.08467426e-04    1.50529751e-02
 7250.000000    8.17149034e-04    0.00000000e+00    4.08574517e-04    2.10216643e-02
 7500.000000    8.17109641e-04    0.00000000e+00    4.08554821e-04    2.85696062e-02
 7750.000000    8.17194931e-04    0.00000000e+00    4.08597465e-04    3.76227720e-02
 8000.000000    8.17142950e-04    0.00000000e+00    4.08571475e-04    4.80569954e-02
 8250.000000    8.16829802e-04    0.00000000e+00    4.08414901e-04    5.97834213e-02
 8500.000000    8.16358093e-04    0.00000000e+00    4.08179047e-04    7.26657059e-02
